#{"t_start": 1719325887.299446, "env_id": "None"}
r,l,t
0.0,2001,16051.499154
0.0,2001,16105.84871
0.0,2001,16159.701573
0.0,2001,16214.008376
0.0,2001,16268.085521
0.0,2001,16322.319869
0.0,2001,16376.293331
0.0,2001,16430.068835
0.0,2001,16484.479614
0.0,2001,16535.685087
0.0,2001,16590.361694
0.0,2001,16644.542169
0.0,2001,16698.866725
0.0,2001,16752.651587
0.0,2001,16807.22721
0.0,2001,16861.58867
0.0,2001,16915.346871
0.0,2001,16969.506584
0.0,2001,17023.413924
0.0,2001,17077.570582
0.0,2001,17131.677599
0.0,2001,17185.494166
0.0,2001,17239.935764
0.0,2001,17294.270804
0.0,2001,17347.888283
0.0,2001,17401.871899
0.0,2001,17455.82419
0.0,2001,17509.426561
0.0,2001,17563.546806
0.0,2001,17617.375384
0.0,2001,17671.109546
0.0,2001,43218.554152
0.0,2001,43276.56318
0.0,2001,43327.361549
0.0,2001,43377.756915
0.0,2001,43428.371707
0.0,2001,43483.297183
0.0,2001,43538.086626
0.0,2001,43592.276508
0.0,2001,43646.313025
0.0,2001,43700.639065
0.0,2001,43755.312263
0.0,2001,43810.429524
0.0,2001,43866.707839
0.0,2001,43921.583106
0.0,2001,43976.362418
0.0,2001,44031.311919
0.0,2001,44086.286421
0.0,2001,44141.578623
0.0,2001,44214.354553
0.0,2001,44287.406961
0.0,2001,44343.311781
0.0,2001,44396.137748
0.0,2001,44450.649064
0.0,2001,44504.927293
0.0,2001,44559.364347
0.0,2001,44613.008759
0.0,2001,44666.579966
0.0,2001,44721.164491
0.0,2001,44775.702198
0.0,2001,44829.964654
0.0,2001,44884.445523
0.0,2001,44938.62646
0.0,2001,44993.383988
0.0,2001,45047.879739
0.0,2001,45102.798109
0.0,2001,45157.160324
0.0,2001,45211.410017
0.0,2001,45265.805125
0.0,2001,45320.315222
0.0,2001,45374.608434
0.0,2001,45428.985083
0.0,2001,45483.954858
0.0,2001,45538.468127
0.0,2001,45592.440046
0.0,2001,45647.043043
0.0,2001,45701.574173
0.0,2001,45755.903267
0.0,2001,45810.510159
0.0,2001,45865.529563
0.0,2001,45919.451057
0.0,2001,45974.274713
0.0,2001,46028.813907
0.0,2001,46083.59374
0.0,2001,46137.790845
0.0,2001,46192.41575
0.0,2001,46247.079822
0.0,2001,46302.0207
0.0,2001,46356.499064
0.0,2001,46411.346305
0.0,2001,46465.985166
0.0,2001,46520.558569
0.0,2001,46575.150265
0.0,2001,46629.527722
0.0,2001,46683.299816
0.0,2001,46737.800533
0.0,2001,46791.03109
0.0,2001,46845.194261
0.0,2001,46900.127766
0.0,2001,46954.317056
0.0,2001,47009.186538
0.0,2001,47063.97416
0.0,2001,47118.665301
0.0,2001,47173.380995
0.0,2001,47227.685615
0.0,2001,47282.066804
0.0,2001,47336.782152
0.0,2001,47390.222214
0.0,2001,47444.618091
0.0,2001,47498.973853
0.0,2001,47552.683688
0.0,2001,47607.018429
0.0,2001,47661.297125
0.0,2001,47715.774061
0.0,2001,47770.257266
0.0,2001,47825.279188
0.0,2001,47879.496555
0.0,2001,47934.315851
0.0,2001,47988.878937
0.0,2001,48043.907327
0.0,2001,48098.34299
0.0,2001,48152.372823
0.0,2001,48206.658609
0.0,2001,48260.311337
0.0,2001,48315.01101
0.0,2001,48369.508926
0.0,2001,48423.909185
0.0,2001,48478.468745
0.0,2001,48532.594085
0.0,2001,48586.932671
0.0,2001,48641.809884
0.0,2001,48696.254306
0.0,2001,48750.608284
0.0,2001,48805.118304
0.0,2001,48860.064872
0.0,2001,48913.90493
0.0,2001,48968.128665
0.0,2001,49022.216629
0.0,2001,49077.058511
0.0,2001,49129.27196
0.0,2001,49183.793139
0.0,2001,49237.975344
0.0,2001,49292.396502
0.0,2001,49347.118266
0.0,2001,49401.861755
0.0,2001,49455.905911
0.0,2001,49509.773823
0.0,2001,49564.288335
0.0,2001,49618.671112
0.0,2001,49673.373948
0.0,2001,49727.876303
0.0,2001,49782.35969
0.0,2001,49836.719718
0.0,2001,49890.926485
0.0,2001,49945.341006
0.0,2001,49999.465578
0.0,2001,50053.267872
0.0,2001,50107.219759
0.0,2001,50162.034054
0.0,2001,50216.286662
0.0,2001,50270.412421
0.0,2001,50324.372332
0.0,2001,50378.741959
0.0,2001,50432.959509
0.0,2001,50487.515551
0.0,2001,50542.268359
0.0,2001,50596.861825
0.0,2001,50650.69402
0.0,2001,50704.8217
0.0,2001,50759.535863
0.0,2001,50814.090116
0.0,2001,50868.026753
0.0,2001,50921.784165
0.0,2001,50975.444594
0.0,2001,51029.814218
0.0,2001,51083.346092
0.0,2001,51137.129972
0.0,2001,51191.883504
0.0,2001,51246.029732
0.0,2001,51300.55213
0.0,2001,51354.762822
0.0,2001,51409.024277
0.0,2001,51463.443207
0.0,2001,51515.804723
0.0,2001,51569.990784
0.0,2001,51624.380659
0.0,2001,51678.399244
0.0,2001,51731.80866
0.0,2001,51785.653461
0.0,2001,51840.394212
0.0,2001,51893.034508
0.0,2001,51945.014193
0.0,2001,51996.675487
0.0,2001,52050.664256
0.0,2001,52106.394321
0.0,2001,52161.253425
0.0,2001,52215.415323
0.0,2001,52268.849377
0.0,2001,52322.887765
0.0,2001,52376.795153
0.0,2001,52430.673746
0.0,2001,52484.29616
0.0,2001,52538.066975
0.0,2001,52592.628985
